Episode 0: 0 Objects found: 0
Episode 5: 0 Objects found: 0
Episode 10: 2.187 Objects found: 1
Episode 15: 2.187 Objects found: 1
Episode 20: 2.187 Objects found: 1
Episode 25: 2.187 Objects found: 1
Episode 30: 11.8725 Objects found: 2
Episode 35: 14.1444 Objects found: 2
Episode 40: 14.1444 Objects found: 2
Episode 45: 14.1444 Objects found: 2
Episode 50: 14.1444 Objects found: 2
Episode 55: 14.1444 Objects found: 2
Episode 60: 14.1444 Objects found: 2
Episode 65: 14.1444 Objects found: 2
Episode 70: 14.1444 Objects found: 2
Episode 75: 14.1444 Objects found: 2
Episode 80: 14.1444 Objects found: 2
Episode 85: 14.1444 Objects found: 2
Episode 90: 14.1444 Objects found: 2
Episode 95: 14.1444 Objects found: 2
