0.00708111;2.47051e-05;-0.030581;-0.00470478;0.000187056;-0.35153;
0.0548771;0.000139083;0.207851;-0.401175;-0.00150945;-0.326948;
0.101472;0.000485254;0.42565;-0.504537;-0.00662239;-0.205835;
0.14419;0.00132234;0.491945;-0.500871;-0.020375;0.0697581;
0.180686;0.0021666;0.539093;-0.479981;-0.0395164;0.0967204;
0.224666;0.00257919;0.664855;-0.534411;-0.0665846;0.203571;
0.25307;0.00227621;0.704772;-0.5403;-0.0855065;0.23388;
0.294846;0.0010139;0.73946;-0.544915;-0.1142;0.200518;
0.322746;-0.000499705;0.759898;-0.543446;-0.133662;0.201136;
0.356782;-0.00302736;0.800689;-0.544446;-0.158119;0.196934;
0.39926;-0.00745419;0.884147;-0.550057;-0.187588;0.0758474;
0.426103;-0.0109045;0.895959;-0.55553;-0.206281;-0.0705398;
0.465063;-0.01671;0.946688;-0.568179;-0.234767;-0.0231418;
0.494866;-0.0216934;0.944265;-0.570701;-0.259251;-0.0878305;
0.52367;-0.0271704;0.932788;-0.573167;-0.283789;-0.0141559;
0.553189;-0.0335767;0.883193;-0.573333;-0.308551;0.0322586;
0.580669;-0.0401224;0.884611;-0.578434;-0.333062;0.0534457;
0.605349;-0.0464056;0.924298;-0.576271;-0.357432;0.107948;
0.623902;-0.0510695;0.89434;-0.569505;-0.380748;-0.0486479;
0.643562;-0.0565592;0.943204;-0.582587;-0.405236;-0.207184;
0.669464;-0.0649739;0.982893;-0.590072;-0.434047;-0.21002;
0.686441;-0.0709015;0.978271;-0.587409;-0.453487;-0.182976;
0.702965;-0.0764839;1.02117;-0.599342;-0.477696;-0.232066;
0.716957;-0.0812076;1.01822;-0.608144;-0.501753;-0.148401;
0.734275;-0.0878168;1.00179;-0.600257;-0.529688;-0.235527;
0.748058;-0.0934119;1.01881;-0.606082;-0.552726;-0.158002;
0.762699;-0.0999454;1.10261;-0.645663;-0.575843;-0.275405;
0.777951;-0.107219;1.12967;-0.666369;-0.599918;-0.319505;
0.793263;-0.115027;1.10474;-0.656482;-0.623969;-0.464609;
0.80764;-0.122763;1.1382;-0.681748;-0.647051;-0.393596;
0.824182;-0.132531;1.1212;-0.645279;-0.671183;-0.395031;
0.841276;-0.143332;1.1379;-0.68484;-0.695354;-0.146594;
0.858286;-0.154712;1.11675;-0.69285;-0.719592;-0.407083;
0.876316;-0.167612;1.19757;-0.722347;-0.743996;-0.469065;
0.894747;-0.181671;1.24018;-0.744606;-0.768203;-0.606208;
0.913339;-0.19667;1.28054;-0.756486;-0.792443;-0.583999;
0.93258;-0.213166;1.31761;-0.764951;-0.816706;-0.593162;
0.952222;-0.230999;1.34172;-0.800443;-0.841032;-0.512369;
0.972638;-0.250692;1.35214;-0.794047;-0.865353;-0.667875;
0.992878;-0.271245;1.38534;-0.794637;-0.88972;-0.704521;
1.01371;-0.293672;1.39448;-0.793056;-0.914088;-0.738789;
1.03437;-0.3171;1.44692;-0.823597;-0.938459;-0.749492;
1.0551;-0.341931;1.4637;-0.841215;-0.962869;-0.886775;
1.07493;-0.366886;1.43512;-0.801442;-0.986962;-0.898612;
1.09087;-0.387382;1.44462;-0.816259;-1.0099;-0.919434;
1.10985;-0.413705;1.45878;-0.841206;-1.03434;-0.932539;
1.12508;-0.435139;1.47097;-0.877182;-1.05925;-0.897895;
1.1431;-0.463123;1.43299;-0.822229;-1.0833;-0.94687;
1.15681;-0.484653;1.43669;-0.834816;-1.10634;-0.950281;
